"","M_SNC_MST_RCNT_ACT_OPN","TOT_HI_CRDT_CRDT_LMT","RATIO_BAL_TO_HI_CRDT","AGRGT_BAL_ALL_XCLD_MRTG","N_OF_SATISFY_FNC_REV_ACTS","AVG_BAL_ALL_FNC_REV_ACTS","N_BANK_INSTLACTS","M_SNCOLDST_BNKINSTL_ACTOPN","N_FNC_INSTLACTS","N_SATISFY_INSTL_ACTS","M_SNC_MSTREC_INSTL_TRD_OPN","TOT_INSTL_HI_CRDT_CRDT_LMT","M_SNC_OLDST_MRTG_ACT_OPN","M_SNC_MSTRCNT_MRTG_ACT_UPD","M_SNC_MST_RCNT_MRTG_DEAL","N30D_ORWRS_RTNG_MRTG_ACTS","N_OF_MRTG_ACTS_DLINQ_24M","N_SATISFY_PRSNL_FNC_ACTS","RATIO_PRSNL_FNC_BAL2HICRDT","TOT_OTHRFIN_HICRDT_CRDTLMT","N_SATISFY_OIL_NATIONL_ACTS","M_SNCOLDST_OIL_NTN_TRD_OPN","N_BC_ACTS_OPN_IN_12M","N_BC_ACTS_OPN_IN_24M","AVG_BAL_ALL_PRM_BC_ACTS","N_RETAIL_ACTS_OPN_IN_24M","M_SNC_OLDST_RETAIL_ACT_OPN","RATIO_RETAIL_BAL2HI_CRDT","TOT_BAL_ALL_DPT_STORE_ACTS","N_30D_RATINGS","N_120D_RATINGS","N_30D_AND_60D_RATINGS","N_ACTS_WITH_MXD_3_IN_24M","N_ACTS_WITH_MXD_4_IN_24M","PRCNT_OF_ACTS_NEVER_DLQNT","N_ACTS_90D_PLS_LTE_IN_6M","TOT_NOW_LTE","N_DEROG_PUB_RECS","N_INQUIRIES","N_FNC_ACTS_VRFY_IN_12M","N_OPEN_REV_ACTS","N_FNC_ACTS_OPN_IN_12M","HI_RETAIL_CRDT_LMT","N_PUB_REC_ACT_LINE_DEROGS","M_SNC_MST_RCNT_60_DAY_RTNG","AUTO_HI_CRDT_2_ACTUAL","MRTG_1_MONTHLY_PAYMENT","MRTG_2_CURRENT_BAL","PREM_BANKCARD_CRED_LMT","STUDENT_HI_CRED_RANGE","AUTO_2_OPEN_DATE_YRS","MAX_MRTG_CLOSE_DATE","UPSCALE_OPEN_DATE_YRS","STUDENT_OPEN_DATE_YRS","FNC_CARD_OPEN_DATE_YRS","AGE","D_DEPTCARD","D_REGION_A","D_REGION_B","D_REGION_C","D_NA_M_SNC_MST_RCNT_ACT_OPN","D_NA_AVG_BAL_ALL_FNC_REV_ACTS","D_NA_M_SNCOLDST_BNKINSTL_ACTOPN","D_NA_M_SNC_OLDST_MRTG_ACT_OPN","D_NA_M_SNC_MST_RCNT_MRTG_DEAL","D_NA_RATIO_PRSNL_FNC_BAL2HICRDT","D_N_DISPUTED_ACTS","PURCHASE","UNIQUE_ID"
"11459",92,24300,5,1214,0,1728.33162193699,0,99.930935709739,1,0,128,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,607,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,0,0,2,0,0,0,20.8802831142568,0,0,0,14500,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,74,0,1,0,0,0,1,1,1,1,1,0,0,1
"41737",2,259300,8.3,113430,1,3165,3,109,0,1,46,125000,171,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,2,3,1310,3,158,1.2,181,0,0,0,0,0,97.2,0,0,0,2,1,19,1,4300,0,20.8802831142568,0,25,100554,11000,0,2.33666142281372,3.14067227136849,4.79178082191781,2.48634096737679,1.28191739298384,73,1,0,0,0,0,0,0,0,1,1,1,1,6
"11316",23,11500,0,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,1,0,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,0,0,1,0,0,0,20.8802831142568,0,0,0,11500,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,22,0,0,0,0,0,1,1,1,1,1,0,0,7
"22563",9,33600,0.4,122,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,1,1,61,0,71,0,0,0,0,0,0,0,100,0,0,0,1,0,6,0,600,0,20.8802831142568,0,0,0,17000,0,2.33666142281372,3.14067227136849,2.45753424657534,2.48634096737679,1.28191739298384,24,1,1,0,0,0,1,1,1,1,1,0,0,8
"76916",367,200,0,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,367,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,200,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,34,1,1,0,0,0,1,1,1,1,1,0,0,9
"25263",29.8752999294284,0,36.0982772631237,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,80.8185633404105,0,0,0,4,0,0,0,0,2,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,68,0,1,0,0,1,1,1,1,1,1,0,0,15
"78940",5,363800,9.8,29681,3,0,0,99.930935709739,2,0,52,0,177,1,60,0,0,1,0,165900,0,187.545454545455,1,2,1941,0,364,0,0,4,0,5,0,0,74.2,0,0,0,1,3,18,0,400,0,41,0,1329,0,16700,0,2.33666142281372,4.37260273972603,7.53598050258877,2.48634096737679,1.28191739298384,71,1,0,1,0,0,0,1,0,0,0,0,0,16
"66251",64,3765,100,3765,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,43,0,0,0,0,1,3615,0,2,0,0,0,0,2,2,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,73,0,1,0,0,0,1,1,1,1,1,0,0,19
"49533",6,27552,26.1,7183,1,76,4,111,2,1,38,17152,131,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,3000,0,187.545454545455,1,1,2518.65422661871,0,348,0,0,0,0,0,0,0,92.3,0,0,0,1,1,2,0,7400,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.20387753574369,7.53598050258877,2.48634096737679,1.28191739298384,57,1,0,0,0,0,0,0,0,1,1,0,1,24
"45656",16,303837,23.7,27999,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,19,0,26.6519337016575,0,0,0,52.1986768597471,147000,0,187.545454545455,0,2,4667,0,138,11.2529557030406,0,0,0,0,0,0,100,0,0,0,6,1,6,0,0,0,20.8802831142568,0,766,0,35000,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,100,0,1,0,0,0,1,1,0,1,1,1,1,25
"275",24,222753,10.4,4948,1,1728.33162193699,0,99.930935709739,1,0,46,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,1,1649,0,565,0,0,0,0,0,0,0,100,0,0,0,0,0,6,0,3000,0,20.8802831142568,0,0,0,12000,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,52,0,1,0,0,0,1,1,1,1,1,0,0,27
"70672",6,618077,31.9,29443,0,1728.33162193699,5,153,0,0,94,0,104,1,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,2,2,5346,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,100,0,0,0,2,0,8,0,0,0,20.8802831142568,0,3149,0,18000,0,2.33666142281372,1.20547945205479,7.53598050258877,2.48634096737679,1.28191739298384,33,0,1,0,0,0,1,0,0,1,1,1,0,28
"58207",75,400,0,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,75,0,0,0,0,0,0,0,100,0,0,0,0,0,1,0,400,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,39,1,0,0,0,0,1,1,1,1,1,0,0,29
"35794",12,22059,77.4,17072,0,1728.33162193699,0,99.930935709739,5,1,13,21559,36,0.668493150684932,14,10,8,1,77.9,0,0,187.545454545455,1,1,2518.65422661871,0,40,11.2529557030406,0,12,1,16,2,0,42.9,1,722,0,27,3,1,0,0,5,1,0,1703,0,0,0,2.33666142281372,2.70684931506849,7.53598050258877,2.48634096737679,2.45753424657534,44,0,1,0,0,0,1,1,0,0,0,0,0,30
"55979",21,4000,41,1642,0,1728.33162193699,0,99.930935709739,2,0,87,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,1,2518.65422661871,0,165.627093872962,11.2529557030406,0,1,0,1,0,0,50,0,0,1,5,0,1,0,0,9,55,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,62,0,1,0,0,0,1,1,1,1,1,0,0,31
"67179",29.8752999294284,0,36.0982772631237,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,80.8185633404105,0,0,0,0,0,0,0,0,1,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,53,0,0,0,1,1,1,1,1,1,1,0,0,32
"83742",14,25835,80.2,20720,0,1728.33162193699,1,86,2,1,14,25835,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,25835,1,85,0,0,2518.65422661871,0,99,11.2529557030406,0,1,0,1,0,0,46.7,0,0,1,16,1,0,0,0,14,36,0,1861,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,63,0,1,0,0,0,1,0,1,1,1,0,0,34
